University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
University of Rhode Island (URI),physics,"$23,428",1.03,2022-2023,1st,
University of South Carolina (USC),Chemical Engineering,"$30,000",1.33,2022-2023,1st,
University of California - Irvine (UCI),"criminology, law and society","$22,396",0.77,2021-2022,1st,
McGill University,PhD in Electrical Engineering,"$12,000",,2021-2022,2nd,
University of New Hampshire (UNH),Biology,"$27,498",1.16,2022-2023,1st,"PhD offer, health care is included"
University of Georgia (UGA),Odum School of Ecology,"$26,030",1.23,2022-2023,1st,"PhD offer, summers not guaranteed by department but advisor offered at least two summers worth. Fees do NOT include healthcare, which you have to pay 50% of, which is an additional $1817"
University of Michigan - Ann Arbor (UM),Ecology and Evolutionary Biology,"$30,892",1.34,2020-2021,1st,"PhD offer, increases to $34,816 after candidacy"
University of California - San Diego (UCSD),Biomedical Science BMS,"$34,500",1.30,2021-2022,1st,
University of California - Davis (UCD),Sociology,"$23,460",0.98,2021-2022,3rd,
Boston College,Management,"$35,875",,2022-2023,1st,Insurance paid for.
Princeton University,Electrical and Computer Engineering,"$48,000",1.89,2022-2023,1st,
University of Wyoming (UW),Clinical Psychology,"$20,645",0.99,2022-2023,,
Iowa State University (ISU),Electrical Engineering,"$24,550",1.16,2020-2021,2nd,
Northeastern University (NU),Sociology,"$39,000",1.36,2022-2023,,
University of Maryland - Baltimore County (UMBC),Human Centered Computing,"$24,800",0.96,2021-2022,1st,
Columbia University (CU),Psychology,"$41,127",1.38,2021-2022,4th,
University of California - San Diego (UCSD),Communication,"$15,000",0.57,2020-2021,,
University of Montana (UM),Ecology & Evolution,"$26,000",1.19,2020-2021,1st,
University of Texas - Austin (UT),Sociology,"$23,000",1.01,2021-2022,1st,Summer funding is given for the first two summers and we have to teach every semester.
University of Minnesota - Twin Cities (UM),Chemical Engineering and Materials Science,"$34,000",1.48,2022-2023,1st,
University of Colorado - Denver (UCD),Molecular Biology,"$34,000",1.52,2021-2022,3rd,
Washington State University (WSU),Marketing,"$25,000",1.32,2020-2021,1st,
University of Texas - Austin (UT),Business,"$42,000",1.84,2022-2023,1st,
Purdue University - West Lafayette,Mathematics,"$19,800",0.94,2022-2023,1st,
University of California - Berkeley,Sociology,"$31,000",1.12,2022-2023,1st,
New York University (NYU),Global Public Health,"$32,000",1.08,2022-2023,1st,$32k over 9 months. Negotiated with advisors and agreed on guaranteed summer 15 weeks full time RA for additional $13k/yr.
Columbia University (CU),,"$25,000",0.84,2022-2023,1st,
Johns Hopkins University (JHU),Computer Science,"$38,500",1.50,2022-2023,1st,
Purdue University - West Lafayette,Chemical Engineering,"$32,500",1.54,2022-2023,1st,
Duke University (DU),Romance Studies,"$33,200",1.49,2022-2023,1st,
,Biophysics,"$33,900",,2021-2022,1st,
University of California - Davis (UCD),Biophysics,"$33,900",1.41,2021-2022,1st,
Georgetown University,MA American Government and Political Science,"$7,074",0.23,2022-2023,1st,
University of Massachusetts - Amherst (UMass),sport,"$27,700",1.21,2020-2021,1st,
University of Illinois - Urbana- Champaign (UIUC),Natural Resources and Environmental Sciences,"$24,431",1.11,2022-2023,1st,
University of Wisconsin - Madison (UW),Mathematics,"$22,330",0.98,2020-2021,1st,3000 summer fellowship for 1st year + optional Summer TA each summer (Between $5000-$8000).
University of California - Irvine (UCI),Psychological Science,"$28,000",0.96,2021-2022,1st,
University of Louisville (U of L),Clinical Psychology,"$21,000",1.02,2021-2022,4th,
University of Louisville (U of L),Clinical Psychology,"$21,000",1.02,2021-2022,4th,
University of Illinois - Chicago (UIC),Educational Policy Studies,"$10,993",0.45,2020-2021,6th and up,
University of California - Berkeley,Bioengineering,"$44,000",1.58,2022-2023,1st,
University of California - San Diego (UCSD),Business,"$38,600",1.46,2021-2022,,
University of Virginia (UVA),Psychology,"$24,000",1.05,2021-2022,5th,
Pennsylvania State University (Penn State),architecture,"$32,000",1.42,2022-2023,1st,
